recipe,default_portion,default_portion_in_grams,Calcium_(MG)_per_100G,Carbohydrates_(G)_per_100G,Iron_(MG)_per_100G,Lipid_(G)_per_100G,Magnesium_(MG)_per_100G,Protein_(G)_per_100G,Sodium_(MG)_per_100G,Vitamin_A_(UG)_per_100G,Vitamin_C_(MG)_per_100G,Vitamin_D_(UG)_per_100G,Calcium_(MG)_total,Carbohydrates_(G)_total,Iron_(MG)_total,Lipid_(G)_total,Magnesium_(MG)_total,Protein_(G)_total,Sodium_(MG)_total,Vitamin_A_(UG)_total,Vitamin_C_(MG)_total,Vitamin_D_(UG)_total
apple crumble,recipe_1_person,132.5,35.132075471698116,46.971698113207545,0.860188679245283,6.593962264150944,31.358490566037737,2.9041509433962265,210.49056603773585,12.09433962264151,1.6660377358490566,0.0,46.550000000000004,62.2375,1.13975,8.737,41.55,3.8480000000000003,278.90000000000003,16.025,2.2075,0.0
apricot bake oatmeal spice,recipe_1_person,177.5,88.07323943661972,16.787408450704227,0.45729577464788734,4.326563380281691,11.952112676056338,3.518859154929578,92.82676056338028,109.68591549295775,8.128591549295775,0.4773239436619719,156.32999999999998,29.797650000000004,0.8117000000000001,7.67965,21.215,6.245975,164.7675,194.6925,14.428249999999998,0.8472500000000001
bacon cabbage green mustard savoy steam,recipe_1_person,53.3125,86.978898007034,9.644689331770223,0.35057444314185227,3.862485345838218,19.895662368112543,4.623493552168816,151.1113716295428,71.93434935521688,9.77620164126612,0.8534583821805393,46.370625,5.141825000000001,0.1869,2.0591875,10.606875,2.4649,80.56125,38.349999999999994,5.2119375,0.455
bacon fry,recipe_1_person,7.5,21.0,65.36,5.58,24.719999999999995,41.0,5.1,311.0,0.0,0.0,0.0,1.575,4.902,0.41850000000000004,1.8539999999999999,3.075,0.3825,23.325,0.0,0.0,0.0
bake italian zucchini,recipe_1_person,19.5875,255.28462029355458,3.863101467772814,0.4220804084237397,12.553797064454372,17.874282067645183,13.3553924696873,402.25462667517553,77.66496490108489,0.9380982769623485,0.3361837906828335,50.003875,0.756685,0.08267500000000001,2.458975,3.501125,2.6159875,78.79162500000001,15.212625,0.18375,0.06585
balsamic dress salad,recipe_1_person,35.25,34.5531914893617,2.858723404255319,0.8219148936170213,10.02936170212766,8.148936170212766,7.888085106382979,360.0425531914894,92.8936170212766,0.07872340425531917,1.3382978723404255,12.18,1.0077,0.289725,3.53535,2.8725,2.78055,126.915,32.745,0.027750000000000004,0.47174999999999995
banana cake,recipe_1_person,621.275,98.1228119592773,19.268988773087603,0.7051635749064424,9.036859683714942,36.42509355760332,5.725530562150417,54.15878636674581,45.000201199146915,0.16437970303005917,0.6750231379018954,609.6125000000001,119.71341000000001,4.381005,56.14375,226.3,35.57129,336.475,279.575,1.02125,4.1937500000000005
basmati rice,recipe_1_person,42.5,25.0,23.54,1.6400000000000001,4.24,33.0,7.489999999999999,263.0,1.0,0.3,0.0,10.625,10.0045,0.6970000000000001,1.8020000000000003,14.025,3.1832499999999997,111.775,0.425,0.1275,0.0
bean margherita pizza,recipe_1_person,72.1875,124.60952380952381,8.53212987012987,0.7913593073593074,4.523774891774891,18.486580086580087,5.045064935064935,353.05627705627705,50.86666666666667,2.272554112554112,0.11108225108225109,89.95250000000001,6.15913125,0.5712625,3.2656,13.344999999999999,3.6419062500000003,254.8625,36.719375,1.6405,0.08018750000000001
berry muesli,recipe_1_person,69.5,18.741007194244606,35.41992805755395,1.3550359712230216,21.61956834532374,19.97841726618705,3.3205755395683454,230.6978417266187,35.97122302158273,1.0597122302158275,0.08992805755395683,13.025,24.61685,0.94175,15.025599999999999,13.885,2.3078,160.335,25.0,0.7365,0.0625
