ingredient,default_portion,default_portion_in_grams,Calcium_(MG)_per_100G,Carbohydrates_(G)_per_100G,Iron_(MG)_per_100G,Lipid_(G)_per_100G,Magnesium_(MG)_per_100G,Protein_(G)_per_100G,Sodium_(MG)_per_100G,Vitamin_A_(UG)_per_100G,Vitamin_C_(MG)_per_100G,Vitamin_D_(UG)_per_100G
abalone,Quantity not specified,85.0,39.0,7.46,3.97,6.12,60.0,21.24,574.0,2.0,2.0,0.0
adobo noodle,Quantity not specified,224.0,15.0,8.14,0.99,7.66,18.0,16.89,510.0,4.0,0.0,0.3
adobo rice,1 cup,244.0,18.0,8.86,1.34,7.94,21.0,17.69,522.0,4.0,0.0,0.4
agave liquid sweetener,Quantity not specified,20.0,1.0,76.37,0.09,0.45,1.0,0.09,4.0,8.0,17.0,0.0
alcoholic coffee drink,Quantity not specified,240.0,5.0,2.1,0.02,2.38,2.0,0.21,3.0,22.0,0.0,0.1
alcoholic beverage malt,1 fl oz,30.0,8.0,0.27,0.03,0.0,12.0,0.9,4.0,0.0,0.0,0.0
alcoholic beverage malt sweeten,Quantity not specified,360.0,4.0,10.07,0.03,0.0,4.0,0.0,5.0,0.0,2.8,0.0
alfalfa sprout,Quantity not specified,17.0,32.0,2.1,0.96,0.69,27.0,3.99,6.0,8.0,8.2,0.0
alfredo sauce,1 cup,260.0,66.0,1.77,0.02,15.0,4.0,2.12,552.0,137.0,0.2,0.5
add alfredo sauce vegetable,Quantity not specified,65.0,53.0,2.65,0.11,11.54,7.0,2.07,423.0,113.0,10.7,0.4
alfredo meat sauce,Quantity not specified,65.0,58.0,1.44,0.48,15.34,7.0,6.52,520.0,111.0,0.1,0.4
add alfredo meat sauce vegetable,Quantity not specified,65.0,48.0,2.15,0.55,12.53,9.0,6.47,415.0,93.0,8.7,0.3
alfredo poultry sauce,1 cup,260.0,58.0,1.44,0.21,13.6,8.0,6.87,518.0,114.0,0.1,0.4
add alfredo poultry sauce vegetable,1 cup,260.0,47.0,2.15,0.28,10.79,11.0,6.83,413.0,95.0,8.7,0.3
alfredo sauce seafood,Quantity not specified,65.0,73.0,1.99,0.47,12.46,10.0,5.91,541.0,125.0,0.5,0.4
add alfredo sauce seafood vegetable,Quantity not specified,65.0,63.0,2.7,0.54,9.66,12.0,5.87,436.0,106.0,9.0,0.3
