file_name,name,name_readable
131094.jpg,soft-cheese,Soft cheese
131094.jpg,ham-raw,"Ham, raw"
131094.jpg,hard-cheese,Hard cheese
131094.jpg,bread-wholemeal,"Bread, wholemeal"
131094.jpg,cottage-cheese,Cottage cheese
131094.jpg,bread-half-white,"Bread, half white"
131097.jpg,fruit-salad,Fruit salad
131097.jpg,pancakes,Pancakes
131097.jpg,soft-cheese,Soft cheese
131098.jpg,pancakes,Pancakes
131098.jpg,soft-cheese,Soft cheese
131100.jpg,pancakes,Pancakes
131100.jpg,salmon-smoked,"Salmon, smoked"
131100.jpg,avocado,Avocado
131100.jpg,soft-cheese,Soft cheese
131100.jpg,spring-onion-scallion,Spring onion / scallion
131101.jpg,ristretto-with-caffeine,"Ristretto, with caffeine"
131110.jpg,chips-french-fries,"Chips, french fries"
131148.jpg,pasta,Pasta
131148.jpg,tomato-sauce,Tomato sauce
131148.jpg,cheese,Cheese
131152.jpg,pear,Pear
131152.jpg,cashew-nut,Cashew nut
131152.jpg,almonds,Almonds
131154.jpg,lentils,Lentils
131154.jpg,mixed-vegetables,Mixed vegetables
131160.jpg,cucumber,Cucumber
131177.jpg,cocoa-powder,Cocoa powder
131177.jpg,greek-yaourt-yahourt-yogourt-ou-yoghourt,"Greek Yaourt, yahourt, yogourt ou yoghourt"
131177.jpg,maple-syrup-concentrate,Maple syrup (Concentrate)
131177.jpg,buckwheat-grain-peeled,"Buckwheat, grain peeled"
131181.jpg,chicken,Chicken
131181.jpg,broccoli,Broccoli
131181.jpg,mayonnaise,Mayonnaise
131201.jpg,green-bean-steamed-without-addition-of-salt,"Green bean, steamed, without addition of salt"
131201.jpg,sausage,Sausage
131207.jpg,bread-meat-substitute-lettuce-sauce,"(bread, meat substitute, lettuce, sauce)"
131212.jpg,tart,Tart
131216.jpg,rice,Rice
131216.jpg,tomato-raw,"Tomato, raw "
131226.jpg,white-coffee-with-caffeine,"White coffee, with caffeine"
131229.jpg,greek-yaourt-yahourt-yogourt-ou-yoghourt,"Greek Yaourt, yahourt, yogourt ou yoghourt"
131229.jpg,apple,Apple
131229.jpg,linseeds,Linseeds
131229.jpg,sunflower-seeds,Sunflower seeds
131257.jpg,ham-raw,"Ham, raw"
131257.jpg,ham-cooked,"Ham, cooked"
131268.jpg,lye-pretzel-soft,Lye pretzel (soft)
131268.jpg,butter,Butter
131268.jpg,cucumber-pickled,"Cucumber, pickled "
131273.jpg,soup-cream-of-vegetables,"Soup, cream of vegetables"
131278.jpg,banana,Banana
131340.jpg,pasta-noodles,"Pasta, noodles"
131340.jpg,cream,Cream
131345.jpg,cake-chocolate,"Cake, chocolate"
131364.jpg,salad-leaf-salad-green,"Salad, leaf / salad, green"
131367.jpg,potatoes-steamed,Potatoes steamed
131367.jpg,white-cabbage,White cabbage
131367.jpg,chicken,Chicken
131370.jpg,almonds,Almonds
131370.jpg,cashew-nut,Cashew nut
131401.jpg,applesauce-unsweetened-canned,"Applesauce, unsweetened, canned"
131418.jpg,mushrooms,Mushrooms
131418.jpg,egg,Egg
131419.jpg,bread-white,"Bread, white"
131420.jpg,coffee-with-caffeine,"Coffee, with caffeine"
131441.jpg,herbal-tea,Herbal tea
131482.jpg,tomato-raw,"Tomato, raw "
131482.jpg,beef-sirloin-steak,"Beef, sirloin steak"
131482.jpg,zucchini,Zucchini
131515.jpg,mandarine,Mandarine
131515.jpg,pear,Pear
131515.jpg,juice-apple,"Juice, apple"
131521.jpg,herbal-tea,Herbal tea
