target_cleaned,recipe_cleaned,ingredient_cleaned,is_ok,ingredient,default_portion,default_portion_in_grams,Calcium_(MG)_per_100G,Carbohydrates_(G)_per_100G,Iron_(MG)_per_100G,Lipid_(G)_per_100G,Magnesium_(MG)_per_100G,Protein_(G)_per_100G,Sodium_(MG)_per_100G,Vitamin_A_(UG)_per_100G,Vitamin_C_(MG)_per_100G,Vitamin_D_(UG)_per_100G,recipe,content,quantity,grammage,unit
cheese soft,,cheese,True,cheese,1 cracker-size slice,9.0,849.0,4.33,0.39,31.26,28.0,20.7,964.0,294.0,0.0,3.0,,,,,
ham,,ham,True,ham,1 thick slice,90.0,8.0,1.58,0.84,3.87,20.0,19.04,1149.0,13.0,0.0,0.7,,,,,
cheese hard,,cheese head,True,cheese head,Quantity not specified,56.0,16.0,0.0,1.5,10.9,9.0,13.83,941.0,0.0,0.0,0.9,,,,,
bread wholemeal,,nan,True,,,,,,,,,,,,,,,,,,
cheese cottage,,cheese cottage,True,cheese cottage,1 cup,210.0,103.0,4.31,0.13,2.3,9.0,11.0,321.0,69.0,0.0,0.0,,,,,
bread half white,,bread white,True,bread white,Quantity not specified,28.0,211.0,49.2,3.36,3.59,27.0,9.43,450.0,0.0,0.0,0.0,,,,,
fruit salad,,nan,True,,,,,,,,,,,,,,,,,,
pancake,,pancake,True,pancake,1 medium pancake,50.0,206.0,35.32,1.45,12.07,20.0,7.41,508.0,77.0,0.0,1.0,,,,,
salmon smoke,,fish salmon smoke,True,fish salmon smoke,1 cup,135.0,11.0,0.0,0.85,4.32,18.0,18.28,672.0,26.0,0.0,17.1,,,,,
avocado,,avocado,True,avocado,1 fruit,150.0,12.0,8.53,0.55,14.66,29.0,2.0,7.0,7.0,10.0,0.0,,,,,
onion scallion spring,,onion,True,onion,Quantity not specified,15.0,17.0,8.46,0.24,0.08,9.0,0.86,1.0,0.0,8.2,0.0,,,,,
caffeine ristretto,,coffee espresso,True,coffee espresso,1 espresso cup (2 fl oz),60.0,2.0,1.67,0.13,0.18,80.0,0.12,14.0,0.0,0.2,0.0,,,,,
chip french fry,,nan,True,,,,,,,,,,,,,,,,,,
pasta,,nan,True,,,,,,,,,,,,,,,,,,
sauce tomato,,nan,True,,,,,,,,,,,,,,,,,,
cheese,,cheese,True,cheese,1 cracker-size slice,9.0,849.0,4.33,0.39,31.26,28.0,20.7,964.0,294.0,0.0,3.0,,,,,
pear,,pear,True,pear,1 slice/chunk,25.0,9.0,15.18,0.18,0.15,7.0,0.37,3.0,1.0,4.3,0.0,,,,,
cashew nut,,cashew salt,True,cashew salt,1 package,50.0,44.0,31.4,5.77,47.48,250.0,14.7,399.0,0.0,0.0,0.0,,,,,
almond,,almond,True,almond,1 100 calorie package,18.0,268.0,21.01,3.73,52.54,279.0,20.96,3.0,0.0,0.0,0.0,,,,,
lentil,,lentil,True,lentil,1 cup,185.0,18.0,18.71,3.1,6.86,33.0,8.38,218.0,0.0,1.3,0.0,,,,,
mix vegetable,,nan,True,,,,,,,,,,,,,,,,,,
cucumber,,cucumber,True,cucumber,Quantity not specified,60.0,16.0,2.95,0.0,0.18,10.0,0.62,2.0,5.0,2.8,0.0,,,,,
cocoa powder,,cocoa powder reconstitute,True,cocoa powder reconstitute,Quantity not specified,5.0,128.0,57.9,13.86,13.7,499.0,19.6,21.0,0.0,0.0,0.0,,,,,
greek ou yahourt yaourt yoghourt yogourt,,nan,True,,,,,,,,,,,,,,,,,,
concentrate maple syrup,,nan,True,,,,,,,,,,,,,,,,,,
buckwheat grain peel,,buckwheat groat,True,buckwheat groat,Quantity not specified,170.0,8.0,18.99,0.76,3.97,49.0,3.24,170.0,35.0,0.0,0.1,,,,,
chicken,,nan,True,,,,,,,,,,,,,,,,,,
broccoli,,broccoli,True,broccoli,1 floweret,10.0,46.0,6.27,0.69,0.34,21.0,2.57,36.0,8.0,91.3,0.0,,,,,
mayonnaise,,nan,True,,,,,,,,,,,,,,,,,,
