ingredient,default_portion,default_portion_in_grams,Calcium_(MG)_per_100G,Carbohydrates_(G)_per_100G,Iron_(MG)_per_100G,Lipid_(G)_per_100G,Magnesium_(MG)_per_100G,Protein_(G)_per_100G,Sodium_(MG)_per_100G,Vitamin_A_(UG)_per_100G,Vitamin_C_(MG)_per_100G,Vitamin_D_(UG)_per_100G
Abalone,Quantity not specified,85.0,39.0,7.46,3.97,6.12,60.0,21.24,574.0,2.0,2.0,0.0
"Adobo, with noodles",Quantity not specified,224.0,15.0,8.14,0.99,7.66,18.0,16.89,510.0,4.0,0.0,0.3
"Adobo, with rice",1 cup,244.0,18.0,8.86,1.34,7.94,21.0,17.69,522.0,4.0,0.0,0.4
Agave liquid sweetener,Quantity not specified,20.0,1.0,76.37,0.09,0.45,1.0,0.09,4.0,8.0,17.0,0.0
Alcoholic coffee drink,Quantity not specified,240.0,5.0,2.1,0.02,2.38,2.0,0.21,3.0,22.0,0.0,0.1
Alcoholic malt beverage,1 fl oz,30.0,8.0,0.27,0.03,0.0,12.0,0.9,4.0,0.0,0.0,0.0
"Alcoholic malt beverage, sweetened",Quantity not specified,360.0,4.0,10.07,0.03,0.0,4.0,0.0,5.0,0.0,2.8,0.0
"Alfalfa sprouts, raw",Quantity not specified,17.0,32.0,2.1,0.96,0.69,27.0,3.99,6.0,8.0,8.2,0.0
Alfredo sauce,1 cup,260.0,66.0,1.77,0.02,15.0,4.0,2.12,552.0,137.0,0.2,0.5
Alfredo sauce with added vegetables,Quantity not specified,65.0,53.0,2.65,0.11,11.54,7.0,2.07,423.0,113.0,10.7,0.4
Alfredo sauce with meat,Quantity not specified,65.0,58.0,1.44,0.48,15.34,7.0,6.52,520.0,111.0,0.1,0.4
Alfredo sauce with meat and added vegetables,Quantity not specified,65.0,48.0,2.15,0.55,12.53,9.0,6.47,415.0,93.0,8.7,0.3
Alfredo sauce with poultry,1 cup,260.0,58.0,1.44,0.21,13.6,8.0,6.87,518.0,114.0,0.1,0.4
Alfredo sauce with poultry and added vegetables,1 cup,260.0,47.0,2.15,0.28,10.79,11.0,6.83,413.0,95.0,8.7,0.3
Alfredo sauce with seafood,Quantity not specified,65.0,73.0,1.99,0.47,12.46,10.0,5.91,541.0,125.0,0.5,0.4
Alfredo sauce with seafood and added vegetables,Quantity not specified,65.0,63.0,2.7,0.54,9.66,12.0,5.87,436.0,106.0,9.0,0.3
Almond butter,1 tablespoon,16.0,263.0,21.11,4.08,52.72,266.0,20.67,232.0,0.0,0.0,0.0
"Almond butter and jelly sandwich, on wheat bread",1 sandwich,112.0,163.0,42.86,2.89,17.2,107.0,12.04,307.0,0.0,0.2,0.0
"Almond butter and jelly sandwich, on white bread",1 sandwich (1 slice bread),56.0,189.0,44.88,3.0,16.99,92.0,10.98,313.0,0.0,0.2,0.0
"Almond butter sandwich, on wheat bread",1 sandwich,92.0,197.0,36.97,3.48,20.93,130.0,14.62,368.0,0.0,0.1,0.0
"Almond butter sandwich, on white bread",1 sandwich,92.0,229.0,39.43,3.61,20.68,110.0,13.34,374.0,0.0,0.0,0.0
"Almond butter, lower sodium",1 tablespoon,16.0,264.0,21.24,4.11,53.04,268.0,20.79,1.0,0.0,0.0,0.0
Almond chicken,1/2 chicken breast with sauce,128.0,36.0,4.46,0.82,13.16,37.0,15.66,330.0,19.0,11.8,0.0
"Almond milk, NFS",Guideline amount per fl oz of beverage,2.5,171.0,1.53,0.29,1.21,7.0,0.54,59.0,41.0,0.0,0.9
"Almond milk, chocolate",1 cup,244.0,161.0,7.44,0.31,1.2,8.0,0.57,56.0,38.0,0.0,0.8
"Almond milk, sweetened",1 cup,244.0,166.0,4.31,0.28,1.18,7.0,0.53,58.0,39.0,0.0,0.9
"Almond milk, unsweetened",Guideline amount per cup of hot cereal,61.0,173.0,0.34,0.29,1.22,7.0,0.55,60.0,41.0,0.0,0.9
Almond oil,1 tablespoon,14.0,0.0,0.0,0.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0
Almond paste,"1 cup, well packed",227.0,172.0,47.81,1.6,27.74,130.0,9.0,9.0,0.0,0.1,0.0
"Almonds, NFS",1 100 calorie package,18.0,268.0,21.01,3.73,52.54,279.0,20.96,3.0,0.0,0.0,0.0
"Almonds, chocolate covered candy",Quantity not specified,55.0,221.0,44.04,2.9,38.81,149.0,12.97,49.0,35.0,0.0,0.0
"Almonds, flavored",Quantity not specified,28.0,257.0,20.12,3.58,53.27,267.0,20.07,500.0,0.0,0.0,0.0
"Almonds, honey roasted",1 100 calorie package,18.0,181.0,35.84,2.54,45.34,188.0,14.11,385.0,0.0,0.0,0.0
"Almonds, lightly salted",1 package,50.0,259.0,20.28,3.6,53.7,269.0,20.23,195.0,0.0,0.0,0.0
"Almonds, salted",1 package,50.0,258.0,20.18,3.59,53.43,268.0,20.13,386.0,0.0,0.0,0.0
"Almonds, unroasted",Quantity not specified,28.0,254.0,20.03,3.74,51.09,258.0,21.45,0.0,0.0,0.0,0.0
"Almonds, unsalted",1 nut,1.2,260.0,20.38,3.62,53.96,271.0,20.33,3.0,0.0,0.0,0.0
Aloe vera juice drink,1 fl oz (with ice),23.0,8.0,3.75,0.15,0.0,0.0,0.0,8.0,0.0,3.8,0.0
Ambrosia,1 cup,193.0,24.0,16.45,0.12,0.98,15.0,0.81,1.0,6.0,43.8,0.0
Animal fat or drippings,1 cup,192.0,5.0,0.0,0.23,92.18,1.0,2.23,604.0,0.0,0.0,2.2
Anisette toast,Quantity not specified,18.0,112.0,66.99,3.15,8.38,17.0,7.63,262.0,20.0,0.4,0.3
"Antipasto with ham, fish, cheese, vegetables","Quantity not specified, if main course in meal",402.0,178.0,3.75,0.8,10.7,21.0,11.62,854.0,288.0,1.5,0.4
Apple cider,1 fl oz (NFS),31.0,8.0,11.3,0.12,0.13,5.0,0.1,4.0,0.0,0.9,0.0
"Apple juice beverage, 40-50% juice, light",1 fl oz (no ice),31.0,3.0,5.1,0.2,0.1,5.0,0.0,13.0,0.0,24.0,0.0
"Apple juice, 100%",1 fun size box (4.23 fl oz),131.0,7.0,11.34,0.06,0.25,5.0,0.09,5.0,0.0,38.6,0.0
"Apple juice, 100%, with calcium added",1 fl oz (no ice),31.0,70.0,11.49,0.13,0.17,5.0,0.12,5.0,0.0,30.3,0.0
Apple pie filling,1 cup,260.0,4.0,26.1,0.29,0.1,2.0,0.1,47.0,2.0,1.7,0.0
Apple salad with dressing,1 cup,137.0,15.0,12.2,0.28,14.24,15.0,1.45,87.0,6.0,3.4,0.0
"Apple, baked",Quantity not specified,210.0,14.0,22.7,0.19,3.08,6.0,0.32,4.0,29.0,3.9,0.0
"Apple, candied",Quantity not specified,320.0,39.0,29.61,0.12,2.15,8.0,1.34,62.0,5.0,3.6,0.0
"Apple, dried",Quantity not specified,40.0,14.0,65.89,1.4,0.32,16.0,0.93,87.0,0.0,3.9,0.0
"Apple, raw",1 medium,200.0,5.0,14.8,0.03,0.15,5.0,0.17,0.0,3.0,4.6,0.0
"Applesauce, flavored",1 pouch,90.0,4.0,17.97,0.04,0.17,4.0,0.25,1.0,0.0,40.8,0.0
"Applesauce, regular",1 cup,250.0,4.0,17.97,0.04,0.17,4.0,0.25,1.0,0.0,40.8,0.0
"Applesauce, unsweetened",Quantity not specified,120.0,4.0,12.26,0.04,0.16,4.0,0.27,1.0,0.0,43.7,0.0
Apricot nectar,Quantity not specified,248.0,11.0,13.63,0.1,0.45,5.0,0.17,8.0,16.0,29.7,0.0
"Apricot, canned",1 half,18.0,7.0,13.85,0.3,0.17,6.0,0.65,3.0,90.0,3.1,0.0
"Apricot, dried",1 cup,160.0,55.0,62.64,2.66,0.51,32.0,3.39,10.0,180.0,1.0,0.0
"Apricot, raw",1 slice/chunk,10.0,13.0,11.12,0.39,0.39,10.0,1.4,1.0,96.0,10.0,0.0
Arepa Dominicana,"1 piece (4"" x 2"" x 1-3/4"")",115.0,82.0,30.47,2.31,14.0,28.0,5.66,399.0,62.0,0.8,0.8
Armadillo,Quantity not specified,85.0,16.0,0.0,1.11,4.34,27.0,28.08,367.0,0.0,0.0,0.0
Artichoke,1 cup,150.0,21.0,11.95,0.61,0.34,42.0,2.89,60.0,1.0,7.4,0.0
Artichoke dip,1 tablespoon,15.0,103.0,5.78,0.21,32.67,13.0,3.86,607.0,71.0,2.0,0.1
"Artichokes, stuffed",1 stuffed globe,250.0,85.0,22.28,1.43,5.94,32.0,5.33,404.0,14.0,5.3,0.0
"Asian chicken or turkey garden salad with crispy noodles, chicken and/or turkey, lettuce, fruit, nuts, crispy noodles, no dressing",1 salad,346.0,43.0,8.11,0.82,5.26,38.0,10.24,167.0,127.0,10.5,0.0
"Asian chicken or turkey garden salad, chicken and/or turkey, lettuce, fruit, nuts, no dressing",Quantity not specified,315.0,39.0,9.5,0.96,5.46,35.0,11.44,176.0,108.0,10.0,0.0
"Asian stir fry vegetables, cooked, fat added",1 cup,132.0,35.0,9.65,1.01,2.84,17.0,2.01,146.0,231.0,35.3,0.0
