recipe,default_portion,default_portion_in_grams,Calcium_(MG)_per_100G,Carbohydrates_(G)_per_100G,Iron_(MG)_per_100G,Lipid_(G)_per_100G,Magnesium_(MG)_per_100G,Protein_(G)_per_100G,Sodium_(MG)_per_100G,Vitamin_A_(UG)_per_100G,Vitamin_C_(MG)_per_100G,Vitamin_D_(UG)_per_100G,Calcium_(MG)_total,Carbohydrates_(G)_total,Iron_(MG)_total,Lipid_(G)_total,Magnesium_(MG)_total,Protein_(G)_total,Sodium_(MG)_total,Vitamin_A_(UG)_total,Vitamin_C_(MG)_total,Vitamin_D_(UG)_total
15 minute pasta,recipe_1_person,87.5,16.0,19.15,1.19,2.58,18.0,5.86,199.0,13.0,0.8,0.0,14.0,16.756249999999998,1.04125,2.2575,15.75,5.1275,174.125,11.375,0.7,0.0
1970s-style chicken curry,recipe_1_person,7.5,36.0,79.2,4.320000000000001,3.5,35.0,9.1,250.0,0.0,0.0,0.0,2.7,5.94,0.32400000000000007,0.2625,2.625,0.6825,18.75,0.0,0.0,0.0
2-hour Christmas dinner,recipe_1_person,24.0,11.0,1.7,0.9499999999999998,35.09,31.0,33.92,1684.0,11.0,0.0,0.4000000000000001,2.64,0.408,0.22799999999999998,8.421600000000002,7.44,8.1408,404.16,2.64,0.0,0.09600000000000002
3 salad dressings,recipe_1_person,90.0,9.0,2.6,0.27,0.0,10.0,0.07,5.0,0.0,0.0,0.0,8.1,2.34,0.243,0.0,9.0,0.063,4.5,0.0,0.0,0.0
3 stir-fry sauces,recipe_1_person,91.5,24.0,3.3500000000000005,0.8200000000000001,12.68,21.0,14.879999999999999,341.0,4.0,2.6,0.3,21.96,3.0652500000000003,0.7503,11.6022,19.215,13.6152,312.015,3.66,2.379,0.27449999999999997
3D biscuits,recipe_1_person,50.0,36.0,79.2,4.32,3.5,35.0,9.1,250.0,0.0,0.0,0.0,18.0,39.6,2.16,1.75,17.5,4.55,125.0,0.0,0.0,0.0
Creamy chicken pasta,recipe_1_person,45.0,7.0,30.68,1.27,0.9199999999999999,18.0,5.76,232.0,0.0,0.0,0.0,3.15,13.806,0.5715,0.414,8.1,2.592,104.4,0.0,0.0,0.0
Hoisin noodles,recipe_1_person,80.0,13.0,29.910000000000004,1.7100000000000002,1.7,54.0,5.96,210.0,0.0,0.0,0.0,10.4,23.928,1.368,1.36,43.2,4.768,168.0,0.0,0.0,0.0
Lemon curd ice cream,recipe_1_person,7250.0,58.0,6.11,0.76,6.09,67.0,2.39,450.0,257.0,15.1,0.3,4205.0,442.975,55.1,441.525,4857.5,173.275,32625.0,18632.5,1094.75,21.75
Mixed vegetable and almond biryani,recipe_1_person,56.0,0.0,0.0,0.16,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.08960000000000001,56.0,0.0,0.0,0.0,0.0,0.0,0.0
