name_readable,default_portion,default_portion_in_grams,Calcium_(MG)_per_100G,Carbohydrates_(G)_per_100G,Iron_(MG)_per_100G,Lipid_(G)_per_100G,Magnesium_(MG)_per_100G,Protein_(G)_per_100G,Sodium_(MG)_per_100G,Vitamin_A_(UG)_per_100G,Vitamin_C_(MG)_per_100G,Vitamin_D_(UG)_per_100G,Calcium_(MG)_total,Carbohydrates_(G)_total,Iron_(MG)_total,Lipid_(G)_total,Magnesium_(MG)_total,Protein_(G)_total,Sodium_(MG)_total,Vitamin_A_(UG)_total,Vitamin_C_(MG)_total,Vitamin_D_(UG)_total
"Bread, wholemeal",recipe_1_person,100.0,211.0,49.2,3.36,3.59,27.0,9.43,450.0,0.0,0.0,0.0,211.0,49.2,3.36,3.59,27.0,9.43,450.0,0.0,0.0,0.0
Fruit salad,recipe_1_person,50.0,16.0,9.13,0.75,0.11,11.0,0.43,2.0,2.0,41.2,0.0,8.0,4.565,0.375,0.055,5.5,0.215,1.0,1.0,20.6,0.0
"Chips, french fries",recipe_1_person,32.5,5.0,20.45,0.34,4.25,24.0,1.87,166.0,19.0,12.1,0.0,1.625,6.64625,0.1105,1.38125,7.8,0.60775,53.95,6.175,3.9325,0.0
Pasta,recipe_1_person,17.5,39.0,3.43,0.46,0.21,27.0,1.31,41.0,298.0,11.7,0.0,6.825,0.6002500000000001,0.0805,0.03675,4.725,0.22925,7.175,52.15,2.0475,0.0
Tomato sauce,recipe_1_person,3.5,1.0,0.0,0.56,100.0,0.0,0.0,2.0,0.0,0.0,0.0,0.035,0.0,0.0196,3.5,0.0,0.0,0.07,0.0,0.0,0.0
Mixed vegetables,recipe_1_person,3.5,21.0,0.06,0.06,82.2,2.0,0.85,524.0,758.0,0.0,0.4,0.735,0.0021,0.0021,2.877,0.07,0.02975,18.34,26.53,0.0,0.014
"Greek Yaourt, yahourt, yogourt ou yoghourt",recipe_1_person,5.0,41.0,66.27,1.56,17.5,69.0,7.17,167.0,2.0,0.2,0.0,2.05,3.3134999999999994,0.078,0.875,3.45,0.3585,8.35,0.1,0.01,0.0
Maple syrup (Concentrate),recipe_1_person,1.05,1.0,99.6,0.05,0.32,0.0,0.0,1.0,0.0,0.0,0.0,0.0105,1.0458,0.000525,0.00336,0.0,0.0,0.0105,0.0,0.0,0.0
Chicken,recipe_1_person,21.25,7.0,0.0,0.5,8.28,23.0,24.7,316.0,17.0,0.0,0.1,1.4875,0.0,0.10625,1.7594999999999998,4.8875,5.24875,67.15,3.6125,0.0,0.02125
Mayonnaise,recipe_1_person,15.0,24.0,25.16,0.61,18.01,13.0,1.77,509.0,19.0,0.1,0.3,3.6,3.774,0.0915,2.7015,1.95,0.2655,76.35,2.85,0.015,0.045
"Ham, cooked",recipe_1_person,5.0,7.0,0.49,1.07,8.43,20.0,20.94,1068.0,0.0,0.0,0.7,0.35,0.0245,0.0535,0.4215,1.0,1.047,53.4,0.0,0.0,0.035
"Cucumber, pickled ",recipe_1_person,15.0,16.0,2.95,0.0,0.18,10.0,0.62,2.0,5.0,2.8,0.0,2.4,0.4425,0.0,0.0269999999999999,1.5,0.093,0.3,0.75,0.42,0.0
"Cake, chocolate",recipe_1_person,62.5,61.0,30.3,4.91,53.03,206.0,12.12,295.0,0.0,0.0,0.0,38.125,18.9375,3.06875,33.14375,128.75,7.575,184.375,0.0,0.0,0.0
Potatoes steamed,recipe_1_person,31.25,8.0,16.26,0.38,3.39,23.0,1.99,147.0,0.0,15.1,0.0,2.5,5.081250000000001,0.11875,1.059375,7.1875,0.621875,45.9375,0.0,4.71875,0.0
Herbal tea,,,,,,,,,,,,,,,,,,,,,,
Zucchini,recipe_1_person,4.949999999999999,137.0,42.64,1.93,13.14,16.0,5.05,290.0,34.0,3.0,0.5,6.781499999999999,2.11068,0.0955349999999999,0.65043,0.7919999999999999,0.2499749999999999,14.354999999999997,1.6829999999999998,0.1484999999999999,0.0247499999999999
French salad dressing,recipe_1_person,56.0,0.0,0.0,0.16,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0896,56.0,0.0,0.0,0.0,0.0,0.0,0.0
Macaroon,recipe_1_person,31.25,1.0,99.6,0.05,0.32,0.0,0.0,1.0,0.0,0.0,0.0,0.3125,31.125,0.015625,0.1,0.0,0.0,0.3125,0.0,0.0,0.0
"Tea, green",recipe_1_person,28.25,24.0,3.67,1.76,4.42,13.0,15.48,250.0,43.0,4.4,0.0,6.78,1.036775,0.4972,1.24865,3.6725,4.3731,70.625,12.1475,1.243,0.0
Hummus,recipe_1_person,102.5,14.0,0.0,1.5,40.34,15.0,20.19,387.0,77.0,0.0,0.2,14.35,0.0,1.5375,41.3485,15.375,20.69475,396.675,78.925,0.0,0.205
"Pizza, Margherita, baked",recipe_1_person,5.0,10.0,4.04,0.22,0.31,10.0,0.82,4.0,32.0,16.3,0.0,0.5,0.2019999999999999,0.011,0.0155,0.5,0.0409999999999999,0.2,1.6,0.815,0.0
Prosecco,recipe_1_person,22.5,5.0,13.47,0.25,0.0599999999999999,5.0,0.2,3.0,0.0,1.0,0.0,1.125,3.03075,0.05625,0.0134999999999999,1.125,0.045,0.675,0.0,0.225,0.0
Panna cotta,recipe_1_person,5.0,61.0,3.8,0.0,35.56,6.0,2.02,21.0,327.0,0.6,1.6,3.05,0.19,0.0,1.778,0.3,0.1009999999999999,1.05,16.35,0.03,0.08
"Bread, sourdough",recipe_1_person,0.775,106.0,7.73,1.36,10.06,17.0,12.86,384.0,82.0,0.8000000000000002,0.8000000000000002,0.8215,0.0599075,0.01054,0.077965,0.13175,0.099665,2.9760000000000004,0.6355000000000001,0.0062,0.0062
